x,y,yaw,curvature
-2.233953,1.147036,-1.239133,0.016270
-2.229164,1.133137,-1.238884,0.017644
-2.224372,1.119239,-1.238614,0.019018
-2.219577,1.105344,-1.238325,0.020393
-2.214777,1.091450,-1.238015,0.021769
-2.209973,1.077559,-1.237685,0.023145
-2.205165,1.063670,-1.237334,0.024523
-2.200352,1.049784,-1.236964,0.025901
-2.195534,1.035901,-1.236573,0.027280
-2.190711,1.022020,-1.236162,0.028660
-2.185882,1.008142,-1.235731,0.030041
-2.181047,0.994268,-1.235279,0.031423
-2.176207,0.980396,-1.234808,0.032806
-2.171360,0.966529,-1.234315,0.034190
-2.166507,0.952665,-1.233803,0.035576
-2.161646,0.938805,-1.233270,0.036962
-2.156779,0.924948,-1.232717,0.038351
-2.151905,0.911096,-1.232144,0.039740
-2.147023,0.897249,-1.231550,0.041131
-2.142133,0.883406,-1.230936,0.042524
-2.137235,0.869567,-1.230302,0.043918
-2.132329,0.855733,-1.229647,0.045313
-2.127414,0.841904,-1.228972,0.046710
-2.122490,0.828081,-1.228276,0.048109
-2.117557,0.814262,-1.227560,0.049510
-2.112615,0.800450,-1.226823,0.050912
-2.107663,0.786642,-1.226066,0.052316
-2.102702,0.772841,-1.225288,0.053722
-2.097730,0.759045,-1.224490,0.055130
-2.092747,0.745256,-1.223672,0.056540
-2.087755,0.731473,-1.222832,0.057952
-2.082751,0.717696,-1.221973,0.059366
-2.077736,0.703926,-1.221092,0.060782
-2.072709,0.690162,-1.220191,0.062199
-2.067671,0.676406,-1.219270,0.063620
-2.062621,0.662657,-1.218327,0.065042
-2.057559,0.648915,-1.217364,0.066466
-2.052484,0.635180,-1.216381,0.067893
-2.047397,0.621453,-1.215376,0.069322
-2.042297,0.607733,-1.214356,0.069495
-2.037183,0.594022,-1.213346,0.068548
-2.032057,0.580317,-1.212350,0.067598
-2.026918,0.566620,-1.211368,0.066643
-2.021766,0.552930,-1.210400,0.065685
-2.016602,0.539247,-1.209447,0.064723
-2.011426,0.525570,-1.208507,0.063757
-2.006237,0.511900,-1.207582,0.062788
-2.001037,0.498236,-1.206671,0.061815
-1.995824,0.484578,-1.205775,0.060839
-1.990600,0.470925,-1.204893,0.059860
-1.985364,0.457278,-1.204025,0.058878
-1.980117,0.443636,-1.203171,0.057893
-1.974858,0.429999,-1.202332,0.056905
-1.969588,0.416367,-1.201508,0.055915
-1.964308,0.402739,-1.200698,0.054921
-1.959016,0.389116,-1.199903,0.053926
-1.953713,0.375497,-1.199122,0.052928
-1.948400,0.361881,-1.198356,0.051927
-1.943076,0.348270,-1.197604,0.050924
-1.937742,0.334661,-1.196867,0.049920
-1.932398,0.321056,-1.196145,0.048913
-1.927044,0.307454,-1.195437,0.047904
-1.921680,0.293855,-1.194744,0.046894
-1.916306,0.280258,-1.194066,0.045882
-1.910922,0.266664,-1.193402,0.044869
-1.905529,0.253071,-1.192754,0.043854
-1.900127,0.239481,-1.192120,0.042837
-1.894715,0.225892,-1.191501,0.041820
-1.889294,0.212304,-1.190896,0.040801
-1.883865,0.198718,-1.190307,0.039781
-1.878426,0.185132,-1.189732,0.038761
-1.872979,0.171548,-1.189172,0.037739
-1.867524,0.157964,-1.188627,0.036717
-1.862060,0.144380,-1.188097,0.035695
-1.856587,0.130796,-1.187582,0.034671
-1.851107,0.117212,-1.187082,0.033648
-1.845619,0.103627,-1.186596,0.032624
-1.840123,0.090042,-1.186125,0.031600
-1.834619,0.076457,-1.185670,0.030576
-1.829108,0.062870,-1.185229,0.029551
-1.823589,0.049282,-1.184803,0.028527
-1.818064,0.035692,-1.184392,0.027504
-1.812531,0.022100,-1.183996,0.026480
-1.806991,0.008507,-1.183615,0.025457
-1.801444,-0.005089,-1.183249,0.024434
-1.795891,-0.018687,-1.182897,0.023412
-1.790331,-0.032287,-1.182561,0.022391
-1.784764,-0.045891,-1.182239,0.021371
-1.779192,-0.059497,-1.181932,0.020351
-1.773613,-0.073107,-1.181640,0.019333
-1.768028,-0.086721,-1.181363,0.018315
-1.762438,-0.100338,-1.181101,0.017299
